"37943915,""Burning bridges"",""Dobrovidova O."",""Science. 2023 Nov 10";"382(6671):632-637. doi: 10.1126/science.adm7955. Epub 2023 Nov 9."",""Dobrovidova O"",""Science"",""2023"",""2023/11/09"","""","""",""10.1126/science.adm7955"""
"37578860,""Phage T3 overcomes the BREX defense through SAM cleavage and inhibition of SAM synthesis by SAM lyase"",""Andriianov A, Trigüis S, Drobiazko A, Sierro N, Ivanov NV, Selmer M, Severinov K, Isaev A."",""Cell Rep. 2023 Aug 29";"42(8):112972. doi: 10.1016/j.celrep.2023.112972. Epub 2023 Aug 13."",""Andriianov A"",""Cell Rep"",""2023"",""2023/08/14"","""","""",""10.1016/j.celrep.2023.112972"""
"37646109,""Filtration-based technologies for isolation, purification and analysis of extracellular vesicles"",""Chernyshev VS, Yashchenok A, Ivanov M, Silachev DN."",""Phys Chem Chem Phys. 2023 Sep 13";"25(35):23344-23357. doi: 10.1039/d3cp03129b."",""Chernyshev VS"",""Phys Chem Chem Phys"",""2023"",""2023/08/30"","""","""",""10.1039/d3cp03129b"""
"37295923,""RNA in situ conformation sequencing reveals novel long-range RNA structures with impact on splicing"",""Margasyuk S, Kalinina M, Petrova M, Skvortsov D, Cao C, Pervouchine DD."",""RNA. 2023 Sep";"29(9):1423-1436. doi: 10.1261/rna.079508.122. Epub 2023 Jun 9."",""Margasyuk S"",""RNA"",""2023"",""2023/06/09"",""PMC10573301"","""",""10.1261/rna.079508.122"""
"37504087,""Progress in Isolation and Molecular Profiling of Small Extracellular Vesicles via Bead-Assisted Platforms"",""Kozhevnikova D, Chernyshev V, Yashchenok A."",""Biosensors (Basel). 2023 Jun 28";"13(7):688. doi: 10.3390/bios13070688."",""Kozhevnikova D"",""Biosensors (Basel)"",""2023"",""2023/07/28"",""PMC10377709"","""",""10.3390/bios13070688"""
"38796479,""Lipidome atlas of the adult human brain"",""Osetrova M, Tkachev A, Mair W, Guijarro Larraz P, Efimova O, Kurochkin I, Stekolshchikova E, Anikanov N, Foo JC, Cazenave-Gassiot A, Mitina A, Ogurtsova P, Guo S, Potashnikova DM, Gulin AA, Vasin AA, Sarycheva A, Vladimirov G, Fedorova M, Kostyukevich Y, Nikolaev E, Wenk MR, Khrameeva EE, Khaitovich P."",""Nat Commun. 2024 May 25";"15(1):4455. doi: 10.1038/s41467-024-48734-y."",""Osetrova M"",""Nat Commun"",""2024"",""2024/05/25"",""PMC11127996"","""",""10.1038/s41467-024-48734-y"""
"37947446,""NaGaPO(4)F - a KTiOPO(4)-structured solid sodium-ion conductor"",""Marshenya SN, Dembitskiy AD, Fedorov DS, Scherbakov AG, Trussov IA, Emelianova O, Aksyonov DA, Buzlukov AL, Zhuravlev NA, Denisova TA, Medvedeva NI, Abakumov AM, Antipov EV, Fedotov SS."",""Dalton Trans. 2023 Nov 28";"52(46):17426-17437. doi: 10.1039/d3dt03107a."",""Marshenya SN"",""Dalton Trans"",""2023"",""2023/11/10"","""","""",""10.1039/d3dt03107a"""
"38092853,""Benchmarking DNA isolation methods for marine metagenomics"",""Demkina A, Slonova D, Mamontov V, Konovalova O, Yurikova D, Rogozhin V, Belova V, Korostin D, Sutormin D, Severinov K, Isaev A."",""Sci Rep. 2023 Dec 13";"13(1):22138. doi: 10.1038/s41598-023-48804-z."",""Demkina A"",""Sci Rep"",""2023"",""2023/12/13"",""PMC10719357"","""",""10.1038/s41598-023-48804-z"""
"38619368,""Gamma-ray dose threshold for MAPbI(3) solar cells"",""Boldyreva AG, Novikov AV, Petrov VG, Zhivchikova AN, Tepliakova MM, Stevenson KJ."",""Phys Chem Chem Phys. 2024 Apr 24";"26(16):12372-12378. doi: 10.1039/d4cp00524d."",""Boldyreva AG"",""Phys Chem Chem Phys"",""2024"",""2024/04/15"","""","""",""10.1039/d4cp00524d"""
"38783373,""From compartments to loops: understanding the unique chromatin organization in neuronal cells"",""Zagirova D, Kononkova A, Vaulin N, Khrameeva E."",""Epigenetics Chromatin. 2024 May 23";"17(1):18. doi: 10.1186/s13072-024-00538-6."",""Zagirova D"",""Epigenetics Chromatin"",""2024"",""2024/05/23"",""PMC11112951"","""",""10.1186/s13072-024-00538-6"""
"37563984,""Ultralow reaction barriers for CO oxidation in Cu-Au nanoclusters"",""Mikhailova AA, Lepeshkin SV, Baturin VS, Maltsev AP, Uspenskii YA, Oganov AR."",""Nanoscale. 2023 Aug 25";"15(33):13699-13707. doi: 10.1039/d3nr02044d."",""Mikhailova AA"",""Nanoscale"",""2023"",""2023/08/11"","""","""",""10.1039/d3nr02044d"""
"38212515,""Characterizing conformational states in GPCR structures using machine learning"",""Buyanov I, Popov P."",""Sci Rep. 2024 Jan 11";"14(1):1098. doi: 10.1038/s41598-023-47698-1."",""Buyanov I"",""Sci Rep"",""2024"",""2024/01/11"",""PMC10784458"","""",""10.1038/s41598-023-47698-1"""
"37872441,""Full-optical photoacoustic imaging using speckle analysis and resolution enhancement by orthogonal pump patterns projection"",""Vorobev V, Weidmann D, Agdarov S, Beiderman Y, Shabairou N, Benyamin M, Klämpfl F, Schmidt M, Gorin D, Zalevsky Z."",""Sci Rep. 2023 Oct 23";"13(1):18081. doi: 10.1038/s41598-023-45490-9."",""Vorobev V"",""Sci Rep"",""2023"",""2023/10/23"",""PMC10593755"","""",""10.1038/s41598-023-45490-9"""
"38155214,""Lithospheric delamination as the driving mechanism of intermediate-depth seismicity in the Bucaramanga Nest, Colombia"",""Pérez-Forero D, Koulakov I, Vargas CA, Gerya T, Al Arifi N."",""Sci Rep. 2023 Dec 27";"13(1):23084. doi: 10.1038/s41598-023-50159-4."",""Pérez-Forero D"",""Sci Rep"",""2023"",""2023/12/28"",""PMC10754942"","""",""10.1038/s41598-023-50159-4"""
